old_sat,new_sat,old_gpa,new_gpa,college_gpa
1030,1041,2.4,2.45,2.64
980,996,2.4,2.45,2.54
810,825,2.5,2.55,2.42
1110,1124,3.3,3.35,3.44
1300,1312,4,4,3.91
1020,1033,4,4,2.46
1170,1182,3.75,3.8,2.79
890,914,2.7,2.75,1.79
1060,1074,4,4,3.22
810,834,2.3,2.35,0.57
1310,1317,4,4,3.48
1070,1083,3.5,3.55,2.13
1290,1306,4,4,3.18
950,966,3.75,3.8,3.81
1110,1125,2.7,2.75,2.49
1190,1203,3,3.05,1.87
1080,1092,3.5,3.55,2.63
920,934,2.2,2.25,1.91
1010,1020,3.8,3.85,3.1
1260,1269,4,4,3.12
970,982,3.1,3.15,2.19
1250,1260,3.6,3.65,3.21
1260,1273,2.7,2.75,3.4
1120,1127,3.1,3.15,2.37
1070,1078,3.75,3.8,2.67
1160,1170,3.5,3.55,3.59
760,792,3.1,3.15,1.93
1180,1191,3.8,3.85,3.17
830,854,2.75,2.8,2.04
1220,1231,3.2,3.25,1.96
940,951,3.7,3.75,2.07
790,827,2.2,2.25,2.35
1100,1113,3.75,3.8,3.06
980,987,2.9,2.95,2.48
1090,1102,3.3,3.35,2.58
1000,1011,2.8,2.85,2.15
900,908,2.7,2.75,2.42
1210,1218,3.2,3.25,2.09
1120,1132,2.5,2.55,2.27
950,960,2.7,2.75,2.31
990,1003,3,3.05,2.24
1030,1044,3.5,3.55,1.92
850,872,2,2.05,1.73
1230,1240,2.5,2.55,3.38
970,986,3.8,3.85,3.02
1040,1054,3.2,3.25,2.29
880,901,2.5,2.55,1.33
1350,1363,3.3,3.35,2.83
1110,1126,3.33,3.38,3.34
870,894,3.2,3.25,1.51
1030,1043,3.2,3.25,1.16
1210,1218,3.75,3.8,1.94
1080,1088,3.8,3.85,1.74
1050,1057,3.2,3.25,2.17
1150,1166,3.3,3.35,2.28
1130,1146,3.5,3.55,2.75
1070,1076,3,3.05,2.8
780,813,3.8,3.85,2.53
1260,1271,3.7,3.75,2.43
880,901,2.7,2.75,1.84
1170,1179,3.7,3.75,2.05
1110,1126,3,3.05,2.48
1220,1229,3.3,3.35,2.75
1120,1132,2.3,2.35,3.24
900,914,3.6,3.65,2.69
1170,1179,3,3.05,2.21
1370,1380,3.8,3.85,3.49
890,913,2.3,2.35,2.24
1130,1137,2.9,2.95,2.85
900,909,2.5,2.55,1.62
1180,1192,3.7,3.75,3.03
900,909,3.6,3.65,3.1
860,880,2.5,2.55,1.59
1090,1104,2.8,2.85,2.21
1270,1281,3.3,3.35,2.43
1060,1068,3.5,3.55,2.46
1160,1167,4,4,2.96
1040,1051,2.8,2.85,2.2
890,905,2.8,2.85,2.31
980,996,3.25,3.3,2.35
1230,1246,2.75,2.8,2.57
940,950,2.8,2.85,3.04
910,919,3,3.05,2.14
1190,1197,4,4,2.27
1090,1095,3,3.05,1.83
1180,1188,3,3.05,2.75
1030,1035,2.5,2.55,1.87
1190,1201,3.5,3.55,3.22
1070,1077,2.5,2.55,3.1
1090,1104,2.9,2.95,2.29
980,990,2.8,2.85,2.1
1040,1050,3.5,3.55,2.96
970,983,2,2.05,0.47
950,965,3.5,3.55,2.88
1220,1228,4,4,3.83
1060,1068,3.4,3.45,1.6
910,926,2.5,2.55,2.23
940,949,2.5,2.55,3.07
1230,1247,3.8,3.85,2.6
1030,1044,2.75,2.8,1.15
1260,1268,3.5,3.55,2.88
1250,1265,3.7,3.75,3.71
910,919,4,4,3.41
1320,1327,3.5,3.55,3.65
710,749,2.3,2.35,1.65
1110,1119,3.7,3.75,2.15
1020,1030,3.5,3.55,2.57
1440,1438,4,4,3.66
1260,1272,4,4,3.31
980,993,3,3.05,2.84
1040,1052,2.7,2.75,1.83
1190,1200,3.6,3.65,3.35
1170,1180,3.3,3.35,1.35
950,966,3.4,3.45,3.1
1100,1111,3.7,3.75,3.1
1000,1011,3,3.05,2.19
910,919,3,3.05,3.35
1160,1168,4,4,3.91
1060,1067,2.7,2.75,1.83
700,735,2.2,2.25,1.29
1420,1427,4,4,2.55
1000,1014,3.25,3.3,2.68
860,878,3.5,3.55,2.96
950,959,3,3.05,2.45
1050,1056,3.25,3.3,2.7
1160,1168,3,3.05,2.24
740,774,2.9,2.95,2.04
1030,1044,3.67,3.72,2.38
1020,1025,2.5,2.55,1.79
910,919,3,3.05,2
980,996,3.04,3.09,2.24
890,910,2.5,2.55,1.63
700,736,2.3,2.35,1.13
970,984,2.5,2.55,1.73
1130,1143,2.2,2.25,1.36
1100,1107,3,3.05,2.81
880,898,3.1,3.15,1.17
1190,1201,3.5,3.55,2.48
1180,1191,3.2,3.25,1.98
990,1001,2.8,2.85,1.72
1020,1029,3.5,3.55,2.69
1060,1074,4,4,2.98
1010,1019,4,4,3.4
1410,1415,4,4,3.48
880,900,2.5,2.55,2.15
1140,1153,3,3.05,2.4
1040,1051,3,3.05,2.42
1000,1008,3.7,3.75,2.19
1080,1087,3.3,3.35,1.5
1140,1154,3.5,3.55,3.17
1200,1210,2.3,2.35,1.94
930,942,2.7,2.75,2.38
